id_envio,id_cliente,cliente,cidade_cliente,estado_cliente,id_veiculo,veiculo,placa,categoria_veiculo,cd_origem,cidade_origem,estado_origem,cd_destino,cidade_destino,estado_destino,data_postagem,data_previsao_entrega,data_entrega_real,valor_frete,peso_carga
159,3,Sr. João Lucas Ferreira,Souza do Norte,SP,19,Ford Ranger,YTU8726,2,CD Macapá,Macapá,AP,CD Belém,Belém,PA,2026-02-10 03:40:33,2026-02-14 03:40:33,2026-02-22 03:40:33,430.77,402.094
328,4,Oliver Pastor,Cassiano,DF,18,Chevrolet S10,HFY7172,2,CD Palmas,Palmas,TO,CD Bauru,Bauru,SP,2026-06-24 05:23:53,2026-07-09 05:23:53,,387.5,341.564
899,5,Dra. Maitê Garcia,Abreu,AL,20,Volkswagen Amarok,LDU5797,2,CD Camaçari,Camaçari,BA,CD Presidente Prudente,Presidente Prudente,SP,2026-02-09 08:31:09,2026-02-11 08:31:09,2026-02-18 08:31:09,234.15,341.303
164,9,Dra. Allana Nunes,Nunes,PB,23,Fiat Ducato,AUR0775,3,CD Uberlândia,Uberlândia,MG,CD Volta Redonda,Volta Redonda,RJ,2026-03-05 11:22:58,2026-03-10 11:22:58,2026-03-23 11:22:58,1203.97,1077.407
58,10,Valentim Moraes,Monteiro das Flores,AP,26,Volkswagen Constellation 24.280,AEV8053,3,CD Taubaté,Taubaté,SP,CD Uberaba,Uberaba,MG,2026-03-13 09:02:51,2026-03-26 09:02:51,2026-03-17 09:02:51,1544.11,1424.363
966,14,Melina Montenegro,Santos do Amparo,BA,21,Mercedes-Benz Sprinter,WDM2991,3,CD Sorocaba,Sorocaba,SP,CD Parnaíba,Parnaíba,PI,2026-04-17 07:54:43,2026-04-26 07:54:43,2026-04-19 07:54:43,1708.39,1572.406
768,17,Ana Lívia Campos,Vasconcelos,BA,22,Renault Master,JVZ8251,3,CD Maceió,Maceió,AL,CD Araçatuba,Araçatuba,SP,2026-01-04 21:41:12,2026-01-07 21:41:12,,1847.9,1667.705
778,19,Stephany Cavalcanti,Costa de Minas,MG,20,Volkswagen Amarok,LDU5797,2,CD Ponta Grossa,Ponta Grossa,PR,CD Uberlândia,Uberlândia,MG,2026-03-07 11:24:18,2026-03-18 11:24:18,,628.76,513.356
402,20,Levi Martins,Dias,PI,20,Volkswagen Amarok,LDU5797,2,CD Volta Redonda,Volta Redonda,RJ,CD Santos,Santos,SP,2026-05-28 14:39:58,2026-06-03 14:39:58,2026-06-08 14:39:58,497.48,859.855
653,20,Levi Martins,Dias,PI,16,Fiat Toro,COX0501,2,CD Guarulhos,Guarulhos,SP,CD Mossoró,Mossoró,RN,2026-04-24 17:52:53,2026-05-01 17:52:53,,263.94,238.618
499,21,Rael Andrade,Sousa,PB,20,Volkswagen Amarok,LDU5797,2,CD Araçatuba,Araçatuba,SP,CD Campos dos Goytacazes,Campos dos Goytacazes,RJ,2026-02-18 17:48:25,2026-02-20 17:48:25,2026-02-21 17:48:25,508.03,575.407
438,23,Sophie Marques,Farias,AL,19,Ford Ranger,YTU8726,2,CD Belo Horizonte,Belo Horizonte,MG,CD Campos dos Goytacazes,Campos dos Goytacazes,RJ,2026-03-18 16:16:59,2026-03-28 16:16:59,2026-03-27 16:16:59,598.46,727.631
774,23,Sophie Marques,Farias,AL,19,Ford Ranger,YTU8726,2,CD Rondonópolis,Rondonópolis,MT,CD Foz do Iguaçu,Foz do Iguaçu,PR,2026-03-16 10:33:03,2026-03-17 10:33:03,2026-03-26 10:33:03,254.68,317.38
454,25,Nicole Carvalho,Lopes,PA,20,Volkswagen Amarok,LDU5797,2,CD Marabá,Marabá,PA,CD Palmas,Palmas,TO,2026-06-13 10:13:44,2026-06-26 10:13:44,2026-06-17 10:13:44,244.72,367.753
804,26,Emanuel da Conceição,Pacheco,DF,29,Iveco Tector 240E30,KIW4424,3,CD Parnaíba,Parnaíba,PI,CD Maceió,Maceió,AL,2026-02-13 09:11:08,2026-02-28 09:11:08,,1929.98,1678.49
8,28,Hellena Cunha,da Luz de Fernandes,AM,24,Volkswagen Delivery 11.180,SBS6419,3,CD Joinville,Joinville,SC,CD Porto Alegre,Porto Alegre,RS,2026-03-03 09:30:51,2026-03-16 09:30:51,,2038.53,1979.742
488,29,Apollo da Mota,Ribeiro,ES,17,Toyota Hilux,XHD6644,2,CD Santos,Santos,SP,CD Camaçari,Camaçari,BA,2026-04-22 09:58:27,2026-04-26 09:58:27,2026-05-01 09:58:27,248.09,512.141
71,31,Sr. Miguel Leão,Correia,DF,21,Mercedes-Benz Sprinter,WDM2991,3,CD Anápolis,Anápolis,GO,CD Curitiba,Curitiba,PR,2026-05-26 15:45:00,2026-06-07 15:45:00,,1652.5,1476.072
427,31,Sr. Miguel Leão,Correia,DF,22,Renault Master,JVZ8251,3,CD Natal,Natal,RN,CD Contagem,Contagem,MG,2026-05-02 18:57:41,2026-05-12 18:57:41,2026-05-18 18:57:41,1782.48,1482.905
632,32,Diogo Cavalcanti,Ribeiro de Pimenta,MG,18,Chevrolet S10,HFY7172,2,CD Uberaba,Uberaba,MG,CD Pelotas,Pelotas,RS,2026-04-02 14:14:58,2026-04-05 14:14:58,2026-04-06 14:14:58,621.69,672.359
145,35,Allana Abreu,da Luz,RN,27,Scania P320,DCB9288,3,CD Juiz de Fora,Juiz de Fora,MG,CD Araraquara,Araraquara,SP,2026-05-11 07:05:57,2026-05-19 07:05:57,2026-05-14 07:05:57,1646.41,1669.466
295,37,Allana Campos,Ribeiro,AM,21,Mercedes-Benz Sprinter,WDM2991,3,CD Sinop,Sinop,MT,CD Vila Velha,Vila Velha,ES,2026-03-01 00:14:15,2026-03-07 00:14:15,2026-03-19 00:14:15,1374.6,1196.098
432,37,Allana Campos,Ribeiro,AM,1,Fiat Mobi,NCM2438,1,CD Vila Velha,Vila Velha,ES,CD Aparecida de Goiânia,Aparecida de Goiânia,GO,2026-02-18 03:40:13,2026-02-22 03:40:13,2026-03-05 03:40:13,134.16,97.308
554,37,Allana Campos,Ribeiro,AM,20,Volkswagen Amarok,LDU5797,2,CD Presidente Prudente,Presidente Prudente,SP,CD Serra,Serra,ES,2026-05-12 10:19:13,2026-05-25 10:19:13,2026-05-21 10:19:13,178.1,207.746
131,39,Stephany Souza,Oliveira de Moura,GO,21,Mercedes-Benz Sprinter,WDM2991,3,CD Florianópolis,Florianópolis,SC,CD Uberaba,Uberaba,MG,2026-05-25 01:32:28,2026-05-28 01:32:28,2026-05-26 01:32:28,1252.98,1060.28
178,39,Stephany Souza,Oliveira de Moura,GO,27,Scania P320,DCB9288,3,CD Uberaba,Uberaba,MG,CD Feira de Santana,Feira de Santana,BA,2026-01-11 03:55:33,2026-01-12 03:55:33,,1453.73,1759.13
268,40,Raquel Castro,Araújo,ES,30,DAF XF 480,KSZ8486,3,CD Belo Horizonte,Belo Horizonte,MG,CD Santos,Santos,SP,2026-02-18 07:08:57,2026-03-04 07:08:57,2026-03-04 07:08:57,1128.9,1465.838
420,41,Pedro Henrique da Cruz,Castro da Mata,PR,19,Ford Ranger,YTU8726,2,CD Jaboatão dos Guararapes,Jaboatão dos Guararapes,PE,CD Recife,Recife,PE,2026-01-05 10:24:50,2026-01-17 10:24:50,,346.24,360.915
318,43,Danilo Guerra,Costa do Campo,RJ,29,Iveco Tector 240E30,KIW4424,3,CD Nova Iguaçu,Nova Iguaçu,RJ,CD Parnaíba,Parnaíba,PI,2026-02-08 17:36:35,2026-02-21 17:36:35,2026-02-23 17:36:35,1352.19,1120.982
791,43,Danilo Guerra,Costa do Campo,RJ,24,Volkswagen Delivery 11.180,SBS6419,3,CD Criciúma,Criciúma,SC,CD Juazeiro,Juazeiro,BA,2026-01-23 03:38:29,2026-01-28 03:38:29,2026-01-24 03:38:29,1669.69,1781.26
872,46,Olivia Caldeira,Viana do Amparo,AP,25,Mercedes-Benz Atego 1719,XOR7165,3,CD Macapá,Macapá,AP,CD Boa Vista,Boa Vista,RR,2026-01-22 10:38:40,2026-02-01 10:38:40,,1967.64,1769.514
